Code;Country
13;Afeganistao
756;Africa Do Sul
15;Alands
17;Albania
23;Alemanha
37;Andorra
40;Angola
41;Anguilla
42;Antartica
43;Antigua E Barbuda
53;Arabia Saudita
59;Argelia
63;Argentina
64;Armenia
65;Aruba
69;Australia
72;Austria
73;Azerbaijao
77;Bahamass
80;Bahreins
81;Bangladesh
83;Barbados
85;Belarus
87;Belgica
88;Belize
229;Benin
90;Bermudas
97;Bolivia
99;Bonaire, Saint Eustatius E Saba
98;Bosnia-Herzegovina
101;Botsuana
102;Bouvet
108;Brunei
111;Bulgaria
31;Burkina Faso
115;Burundi
119;Butao
127;Cabo Verde
145;Camaroes
141;Camboja
149;Canada
154;Catar
137;Caymans
153;Cazaquistao
788;Chade
158;Chile
160;China
163;Chipre
511;Ilha Christmas (Navidad)
741;Cingapura
165;Cocos (Keeling)
169;Colombia
173;Comoress
177;Congo
888;Congo
183;Cooks
187;Coreia do Norte
190;Coreia do Sul
193;Costa Do Marfim
196;Costa Rica
198;Coveite
195;Croacia
199;Cuba
200;Curacao
232;Dinamarca
783;Djibuti
235;Dominica
239;Ecuador
240;Egito
687;El Salvador
244;Emirados Arabes Unidos
243;Eritreia
247;Eslovaca
246;Eslovenia
245;Espanha
249;Estados Unidos
251;Estonia
253;Etiopia
255;Falkland (Ilhas Malvinas)
259;Feroes
870;Fiji
267;Filipinas
271;Finlandia
275;Franca
281;Gabao
285;Gambia
289;Gana
291;Georgia
292;Georgia Do Sul E Sandwich Do Suls
293;Gibraltar
297;Granada
301;Grecia
305;Groelandia
309;Guadalupe
313;Guam
317;Guatemala
321;Guernsey
337;Guiana
325;Guiana Francesa
329;Guine
334;Guine-Bissau
334;Guine-Bissau
331;Guine-Equatorial
341;Haiti
343;Heard E Ilhas Mcdonald
345;Honduras
351;Hong Kong
355;Hungria
357;Iemen
359;Ilha de Man
863;Ilhas Virgens (Britanicas)
866;Ilhas Virgens (E.U.A.)
361;India
365;Indonesia
372;Ira
369;Iraque
375;Irlanda
379;Islandia
383;Israel
386;Italia
391;Jamaica
399;Japao
393;Jersey
403;Jordania
411;Kiribati
420;Laos
426;Lesoto
427;Letonia
431;Libano
434;Liberia
438;Libia
440;Liechtenstein
442;Lituania
445;Luxemburgo
447;Macau
449;Macedonia
450;Madagascar
455;Malasia
458;Malavi
461;Maldivas
464;Mali
467;Malta
472;Marianas Do Norte
474;Marrocos
476;Marshalls
477;Martinica
485;Mauricio
488;Mauritania
489;Mayotte
493;Mexico
93;Mianmar (Birmania)
499;Micronesia
505;Mocambique
494;Moldavia
495;Monaco
497;Mongolia
498;Montenegro
501;Montserrats
507;Namibia
508;Nauru
517;Nepal
521;Nicaragua
525;Niger
528;Nigeria
531;Niue
535;Norfolk
538;Noruega
542;Nova Caledonia
548;Nova Zelandia
556;Oma
566;Pacificos Do (Possessao Dos Eua)
573;Paises Baixos (Holanda)
575;Palau
578;Palestina
580;Panama
545;Papua Nova Guine
576;Paquistao
586;Paraguai
589;Peru
593;Pitcairn De
599;Polinesia Francesa
603;Polonia
611;Porto Rico
607;Portugal
623;Quenia
625;Quirguiz
628;Reino Unido
640;Republica Centro-Africana
647;Republica Dominicana
791;Republica Tcheca
660;Reuniao
670;Romenia
675;Ruanda
676;Russia
685;Saara Ocidental
677;Salomaos
690;Samoa
691;Samoa Americana
697;San Marino
710;Santa Helena
715;Santa Lucia
693;Sao Bartolomeu
695;Sao Cristovao E Neves
698;Sao Martinho (Parte Francesa)
699;Sao Martinho (Parte Holandesa)
700;Sao Pedro E Miquelon
720;Sao Tome E Principes
705;Sao Vicente E Granadinas
728;Senegal
735;Serra Leoa
737;Servia
731;Seychelles
744;Siria
748;Somalia
750;Sri Lanka
754;Suazilandia
759;Sudao
760;Sudao Do Sul
764;Suecia
767;Suica
770;Suriname
755;Svalbard E Jan Mayen
772;Tadjiquistao
776;Tailandia
161;Taiwan
780;Tanzania
781;Terras Austrais Francesas
782;Territorio Britanico No Oceano Indico
795;Timor Leste
800;Togo
810;Tonga
805;Toquelaus
815;Trinidad E Tobago
820;Tunisia
823;Turcas E Caicoss
824;Turcomenistao
827;Turquia
828;Tuvalu
831;Ucrania
833;Uganda
845;Uruguai
847;Uzbequistao
551;Vanuatu
848;Vaticano
850;Venezuela
858;Vietna
875;Wallis E Futunas
890;Zambia
665;Zimbabue
